,i_pol,taylor_rule,mp_shock_iv
2005Q2,3,3.153603287,-0.153603287
2005Q3,3.61363636,3.443808542,0.169827818
2005Q4,4.11363636,4.157925958,-0.044289598
2006Q1,4.25,4.507313539,-0.257313539
2006Q2,4.57954546,4.603595079,-0.024049619
2006Q3,5,4.80662397,0.193376031
2006Q4,5,5.226096202,-0.226096202
2007Q1,5.02272727,5.245423831,-0.222696561
2007Q2,5.5,5.368076675,0.131923325
2007Q3,5.525,5.90857585,-0.38357585
2007Q4,6.28571429,6.045681414,0.240032876
2008Q1,6.53571429,6.928338336,-0.392624046
2008Q2,6.75,7.17420847,-0.42420847
2008Q3,7.25,7.254375587,-0.004375587
2008Q4,7.25,7.3378016,-0.0878016
2009Q1,6.45454546,7.051622768,-0.597077308
2009Q2,5.54545454,6.157629466,-0.612174926
2009Q3,4.63636364,5.220131332,-0.583767692
2009Q4,4.5,4.491771875,0.008228125
2010Q1,4.5,4.434123742,0.065876258
2010Q2,4.5,4.440987055,0.059012945
2010Q3,4.5,4.517469092,-0.017469092
2010Q4,4.5,4.527481919,-0.027481919
2011Q1,4.5,4.609321961,-0.109321961
2011Q2,4.75,4.680001179,0.069998821
2011Q3,5,4.909518653,0.090481347
2011Q4,5.5,5.082710003,0.417289997
2012Q1,5.5,5.505970705,-0.005970705
2012Q2,5.5,5.505261575,-0.005261575
2012Q3,5,5.521944487,-0.521944487
2012Q4,5,5.071864089,-0.071864089
2013Q1,5,5.081861825,-0.081861825
2013Q2,5.25,4.977399124,0.272600876
2013Q3,5.25,5.14512661,0.10487339
2013Q4,5,5.085776703,-0.085776703
2014Q1,5,4.833718667,0.166281333
2014Q2,4.75,4.829650886,-0.079650886
2014Q3,4.5,4.588460554,-0.088460554
2014Q4,4,4.351989915,-0.351989915
2015Q1,3.5,3.896491729,-0.396491729
2015Q2,3.5,3.469585972,0.030414028
2015Q3,3.25,3.468500953,-0.218500953
2015Q4,3,3.214317533,-0.214317533
2016Q1,3,2.987608128,0.012391872
2016Q2,3,2.966285648,0.033714352
2016Q3,3,2.9839637,0.0160363
2016Q4,3,2.996002341,0.003997659
2017Q1,3,2.960403481,0.039596519
2017Q2,3,2.947174026,0.052825974
2017Q3,3,2.932492866,0.067507134
2017Q4,2.75,2.935912546,-0.185912546
2018Q1,2.75,2.75646986,-0.00646986
2018Q2,2.75,2.776713049,-0.026713049
2018Q3,2.75,2.740197405,0.009802595
2018Q4,2.75,2.758977912,-0.008977912
2019Q1,2.75,2.768491564,-0.018491564
2019Q2,2.75,2.726642649,0.023357351
2019Q3,2.75,2.725360619,0.024639381
2019Q4,2.75,2.693160581,0.056839419
2020Q1,2.75,2.5314296,0.2185704
2020Q2,2,2.663023023,-0.663023023
2020Q3,1.75,2.051812176,-0.301812176
2020Q4,1.75,1.891906968,-0.141906968
2021Q1,1.75,1.912083535,-0.162083535
2021Q2,1.75,1.950394705,-0.200394705
2021Q3,1.75,2.059181148,-0.309181148
2021Q4,1.75,2.236422703,-0.486422703
2022Q1,1.75,2.527947709,-0.777947709
2022Q2,2.25,2.730385438,-0.480385438
2022Q3,3,3.227180036,-0.227180036
2022Q4,3.75,3.818166671,-0.068166671
2023Q1,4.5,4.289332348,0.210667653
2023Q2,5,4.808499515,0.191500485
2023Q3,5,5.108448996,-0.108448996
2023Q4,5,4.981984297,0.018015703
2024Q1,5,4.91787905,0.08212095
2024Q2,5,4.8898535,0.1101465
